Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population,2022 Population,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
19,Mexico,7368252,332198.0,6606633.0,429421.0,19356195.0,131562772.0,127504125,191907868.0,85580293.0,79711762.0,150635402.0,190175636.0,147.32,65.7,61.19,3173.7869565217393
20,Indonesia,6730289,160817.0,6565208.0,4264.0,114158919.0,279134505.0,275501339,377108938.0,196240871.0,158830466.0,313487313.0,373213575.0,136.45,71.01,57.47,3062.249433106576
21,Poland,6380225,118736.0,5335940.0,925549.0,38118630.0,37739785.0,39857145,53908363.0,22585418.0,22343826.0,37720015.0,53904067.0,142.63,59.75,59.12,3127.5526315789475
22,Colombia,6356309,142486.0,6179501.0,34322.0,36951507.0,51512762.0,51874024,80573164.0,41940039.0,34730020.0,49425698.0,80325853.0,157.17,81.81,67.74,3887.9652605459055
23,Austria,5780229,21689.0,5730189.0,28351.0,211273524.0,9066710.0,8939617,18131115.0,6812569.0,6588761.0,0.0,18131949.0,200.5,75.33,72.86,4546.6349206349205
24,Greece,5708301,35630.0,5662212.0,10459.0,102228365.0,10316637.0,10384971,20503242.0,7896367.0,7592528.0,19596342.0,20470918.0,197.7,76.14,73.21,4328.736842105263
25,Portugal,5563907,26022.0,5532366.0,5519.0,45915651.0,10140570.0,10270865,22923599.0,9663542.0,9415073.0,19698543.0,22920938.0,225.45,95.04,92.6,5146.664383561644
26,Ukraine,5370131,111020.0,5253302.0,5809.0,32603805.0,43192122.0,39701739,31683310.0,15729617.0,15221792.0,31683151.0,31526868.0,72.89,36.19,35.02,1992.5851648351647
27,Chile,5118981,63812.0,5051555.0,3614.0,48127301.0,19250195.0,19603733,50302179.0,17859475.0,17346012.0,50301759.0,50166643.0,261.82,92.96,90.29,5764.154525386313
28,Malaysia,5036593,36942.0,4989861.0,9790.0,67665089.0,33181072.0,33938221,68795057.0,27494218.0,25801561.0,68794991.0,68692510.0,209.89,83.88,78.72,5265.819095477387
29,Israel,4786189,12193.0,4768242.0,5754.0,41373364.0,9326000.0,9038309,18062854.0,6702717.0,6128503.0,18062784.0,18119560.0,194.41,72.14,65.96,4194.01935483871
31,Thailand,4726984,33865.0,4692636.0,483.0,17270775.0,70078203.0,71697030,128882372.0,55362342.0,50159803.0,113541964.0,128433095.0,184.25,79.14,71.71,4648.2405063291135
32,Belgium,4691499,33557.0,4644681.0,13261.0,36548544.0,11668278.0,11655930,25235826.0,9230428.0,9126319.0,25235487.0,25221195.0,216.95,79.35,78.46,4786.3002207505515
34,Canada,4550256,50380.0,4444013.0,55863.0,66343123.0,38388419.0,38454327,82076782.0,32665747.0,31149796.0,81534153.0,82010216.0,215.61,85.81,81.83,4593.452025586354
35,Peru,4481621,218931.0,4258688.0,4002.0,37754603.0,33684208.0,34049588,65552891.0,28381144.0,25480351.0,65552882.0,65303746.0,196.5,85.08,76.38,4762.948905109489
36,Switzerland,4385701,14452.0,4366770.0,4479.0,23318743.0,8773637.0,8740472,15635047.0,6081712.0,5993447.0,15635046.0,15629760.0,179.39,69.78,68.77,3881.6623376623374
37,Philippines,4073454,65802.0,3998048.0,9604.0,34343332.0,112508994.0,115559009,148799120.0,70173137.0,65804988.0,54949064.0,144426925.0,134.0,63.19,59.26,3301.01269035533
38,South Africa,4055966,102595.0,3912506.0,40865.0,26473049.0,60756135.0,59893885,33485691.0,20894155.0,17833534.0,15916961.0,33331178.0,55.77,34.8,29.7,1367.3300492610838
39,Romania,3325006,67576.0,3252104.0,5326.0,26389988.0,19031335.0,19659267,16736886.0,8162071.0,8083344.0,16733505.0,16736695.0,87.5,42.67,42.26,1918.8508771929824
40,Denmark,3173247,8145.0,3163849.0,1253.0,129144754.0,5834950.0,5882261,13211743.0,4841445.0,4801547.0,13211735.0,13209023.0,227.27,83.28,82.6,4783.583157894737
41,Hong Kong,2877280,13358.0,2509483.0,354439.0,76123870.0,7604299.0,7488865,14944464.0,6502770.0,5739533.0,14926789.0,14782968.0,197.87,86.1,75.99,4917.834170854271
42,Sweden,2693458,23246.0,2658039.0,12173.0,19410527.0,10218971.0,10549347,21053545.0,7817094.0,7614496.0,72534.0,21010705.0,207.22,76.94,74.94,4636.632286995516
43,Serbia,2471198,17701.0,2440527.0,12970.0,12154486.0,8653016.0,7221365,8494958.0,3347209.0,3269374.0,3263470.0,8490135.0,123.63,48.71,47.58,2820.9086757990867
44,Iraq,2465545,25375.0,2439497.0,673.0,19544451.0,42164965.0,44496122,17536902.0,10266670.0,7121524.0,9985.0,17478087.0,42.59,24.93,17.29,1096.6899224806202
45,Singapore,2217110,1722.0,2144490.0,70898.0,24756666.0,5943546.0,5975689,13825593.0,5005722.0,4964989.0,13825469.0,13798972.0,253.51,91.79,91.04,5585.536423841059
46,Hungary,2192447,48677.0,2139857.0,3913.0,11394556.0,9606259.0,9967308,16429829.0,6402207.0,6186672.0,8276404.0,16376999.0,170.54,66.45,64.22,3794.2879464285716
47,New Zealand,2182355,3781.0,2169320.0,9254.0,7710637.0,4898203.0,5185288,10950139.0,4284293.0,4051832.0,10950137.0,10930674.0,213.61,83.57,79.04,5226.149509803921
48,Bangladesh,2037556,29442.0,1992694.0,15420.0,15247014.0,167885689.0,171186372,243642749.0,127544055.0,107712737.0,114220220.0,232845439.0,146.5,76.69,64.77,3278.9508196721313
49,Slovakia,1860893,20946.0,1839309.0,638.0,7390781.0,5460193.0,5643453,7052526.0,2819708.0,2763187.0,0.0,7036417.0,129.42,51.74,50.71,2882.2589285714284
50,Georgia,1814180,16926.0,1776548.0,20706.0,16920079.0,3968738.0,3744385,2857215.0,1600698.0,1256517.0,1438551.0,2853746.0,71.79,40.22,31.57,1886.9921052631578
51,Jordan,1746997,14122.0,1731007.0,1868.0,17201885.0,10300869.0,11285869,9727982.0,4714575.0,4412071.0,4260392.0,9706638.0,94.73,45.91,42.96,2239.9028436018957
52,Ireland,1700253,8462.0,1685183.0,6608.0,12984257.0,5020199.0,5023109,10741777.0,4069002.0,4007756.0,10692692.0,10729599.0,215.57,81.66,80.43,4732.487912087912
53,Pakistan,1576313,30640.0,1538689.0,6984.0,30570862.0,229488994.0,235824862,219368557.0,128074138.0,101881176.0,87537406.0,217745032.0,97.41,56.87,45.24,2411.2693266832916
54,Norway,1477856,5112.0,1471835.0,909.0,11002430.0,5511370.0,5434319,11269240.0,4331582.0,4027038.0,11269240.0,11267309.0,206.18,79.25,73.68,4285.821205821206
55,Finland,1458619,8639.0,1447569.0,2411.0,12017711.0,5554960.0,5540745,11679339.0,4505614.0,4308827.0,1254404.0,11682015.0,210.5,81.21,77.66,4678.857777777778
56,Kazakhstan,1405917,13695.0,1383020.0,9202.0,11575012.0,19205043.0,19397998,20918681.0,9451240.0,9150398.0,18655980.0,20891256.0,110.13,49.76,48.17,2777.368686868687
57,Slovenia,1321852,7056.0,1311159.0,3637.0,2824843.0,2078034.0,2119844,2977006.0,1264649.0,1220153.0,2970807.0,2974046.0,143.21,60.84,58.7,3130.6542669584246
58,Lithuania,1296865,9545.0,1282528.0,4792.0,10350770.0,2661708.0,2750055,4465769.0,1948513.0,1872520.0,4463352.0,4469241.0,166.02,72.44,69.61,3635.6695842450767
59,Bulgaria,1295426,38179.0,1254491.0,2756.0,10987749.0,6844597.0,6781953,4348404.0,2081276.0,2049909.0,4177499.0,4347686.0,63.05,30.18,29.72,1385.4901098901098
60,Morocco,1272240,16296.0,1255881.0,63.0,12930733.0,37772756.0,37457971,54201634.0,24878016.0,23346308.0,27406052.0,54300576.0,145.14,66.62,62.52,3470.2315035799525
61,Croatia,1267580,17877.0,1249168.0,535.0,5476183.0,4059286.0,4030358,5224151.0,2310786.0,2237864.0,3700529.0,5217712.0,127.99,56.61,54.83,2815.713656387665
62,Lebanon,1228639,10790.0,1087587.0,130262.0,4795578.0,6684849.0,5489739,5276097.0,2516012.0,2201517.0,4824180.0,5270519.0,77.94,37.17,32.52,1903.7041564792175
63,Guatemala,1227853,20106.0,1204545.0,3202.0,6757892.0,18584039.0,17843908,15845925.0,7624143.0,5929957.0,13410832.0,15603719.0,86.83,41.78,32.49,2175.5903307888043
64,Bolivia,1187986,22346.0,1146143.0,19497.0,2705422.0,11992656.0,12224110,12972370.0,7043449.0,5747856.0,12900359.0,12926843.0,109.63,59.52,48.58,2658.004866180049
65,Costa Rica,1186176,9158.0,860711.0,316307.0,4659757.0,5182354.0,5180829,10166273.0,4336171.0,3971404.0,0.0,10092933.0,197.82,84.38,77.28,4278.7930283224405
66,Tunisia,1150356,29308.0,,,4997373.0,12046656.0,12356117,13037269.0,7171789.0,6345597.0,8546232.0,13034732.0,109.23,60.09,53.16,2919.994652406417
67,Cuba,1112438,8530.0,1103799.0,109.0,14298479.0,11305652.0,11212191,35342367.0,10630665.0,9910237.0,30945393.0,33802957.0,312.28,93.93,87.57,9955.943333333333
68,Ecuador,1051239,35942.0,1011682.0,3615.0,3082403.0,18113361.0,18001000,33165706.0,14836133.0,13709968.0,32494483.0,33080034.0,185.4,82.94,76.64,4300.541860465116
