Tytuł,Cena,Ekran:,Procesor,RAM,Grafika:,Dysk SSD,System operacyjny,Firma procesora
"Laptop gamingowy Lenovo Legion Slim 5 16ARP9 16"" 165Hz R7 7435HS 16GB RAM 512GB Dysk SSD RTX4070 DLSS3 Win11 Szary",6699,"16 "", 2560 x 1600 pikseli 165 Hz",AMD Ryzen™ 7 7435HS,16,NVIDIA® GeForce RTX™ 4070,512,Windows 11 Home,AMD
"Laptop gamingowy Acer Nitro 5 AN517-55-51MQ 17,3"" 144Hz i5-12450H 16GB RAM 512GB Dysk SSD RTX4060 DLSS3 Win11 Czarny",5699,"17,3 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i5 12gen 12450H,16,NVIDIA® GeForce RTX™ 4060 + Intel UHD Graphics,512,Windows 11 Home,Intel
"Apple MacBook Air 13,6"" M2 16GB RAM 256GB Dysk macOS Gwiezdna Szarość",4499,"13,6 "", 2560 x 1664 pikseli",Apple M2,16,Apple M2 (8-rdzeni),256,macOS Sonoma,Apple
"Laptop Acer Aspire 15 A15-51M-53DL 15,6"" Core 5 120U 32GB RAM 1TB Dysk SSD Win11 Szary",3699,"15,6 "", 1920 x 1080 pikseli 60 Hz",Intel® Core™ 5 120U,32,Intel® Graphics,1024,Windows 11 Home,Intel
"Apple MacBook Air 2024 13,6"" M3 16GB RAM 512GB Dysk macOS Księżycowa Poświata",6199,"13,6 "", 2560 x 1664 pikseli",Apple M3,16,Apple M3 (10-rdzeni),512,macOS Sonoma,Apple
"Laptop gamingowy ASUS ROG Strix G15 2022 G513RM-HF265W 15,6"" 300Hz R7 6800H 16GB RAM 512GB Dysk SSD RTX3060 Win11 Szary",6999,"15,6 "", 1920 x 1080 pikseli 300 Hz",AMD Ryzen™ 7 6800H,16,NVIDIA® GeForce RTX™ 3060 + AMD Radeon™ 680M,512,Windows 11 Home,AMD
"Laptop gamingowy MSI Sword 17 HX B14VGKG-083XPL 17"" 240Hz i7-14700HX 16GB RAM 1TB Dysk SSD RTX4070 DLSS3 Szary + Zestaw AKC",8199,"17 "", 2560 x 1600 pikseli 240 Hz",Intel® Core™ i7 14gen 14700HX,16,NVIDIA® GeForce RTX™ 4070 + Intel UHD Graphics,1024,Brak,Intel
"Laptop Dell Inspiron 3520-2109 15,6"" 120Hz i5-1235U 16GB RAM 1TB Dysk SSD Win11 Srebrny",2599,"15,6 "", 1920 x 1080 pikseli 120 Hz",Intel® Core™ i5 12gen 1235U,16,Intel® Iris Xe Graphics,1024,Windows 11 Home,Intel
"Laptop gamingowy Lenovo LOQ 15ARP9 15,6"" 144Hz R7 7435HS 16GB RAM 1TB Dysk SSD RTX4060 Win11 Szary",4699,"15,6 "", 1920 x 1080 pikseli 144 Hz",AMD Ryzen™ 7 7435HS,16,NVIDIA® GeForce RTX™ 4060,1024,Windows 11 Home,AMD
"Laptop gamingowy ASUS TUF Gaming A15 FA506NCR-HN008W 15,6''144Hz R7 7435HS 16GB RAM 512GB Dysk SSD RTX3050 Win11 Czarny",3799,"15,6 "", 1920 x 1080 pikseli 144 Hz",AMD Ryzen™ 7 7435HS,16,NVIDIA® Geforce RTX 3050,512,Windows 11 Home,AMD
"Apple MacBook Pro 2024 14,2"" M4 16GB RAM 1TB Dysk macOS Gwiezdna Czerń",9499,"14,2 "", 3024 x 1964 pikseli 120 Hz",Apple M4,16,Apple M4 (10-rdzeni),1024,macOS Sonoma,Apple
"Laptop gamingowy MSI Cyborg 15 A12VF-266XPL 15,6""144Hz i5-12450H 16GB RAM 512GB Dysk SSD RTX4060 DLSS3 Czarny",4149,"15,6 "", 1920 x 1080 pikseli 144 Hz",Intel® Core™ i5 12gen 12450H,16,NVIDIA® GeForce RTX™ 4060 + Intel UHD Graphics,512,Brak,Intel
"Laptop gamingowy Lenovo Legion 9 16IRX8 16"" 165Hz i9-13900HX 32GB RAM 1TB Dysk SSD RTX4090 DLSS3 Win11 Szary",18999,"16 "", 3200 x 2000 pikseli 165 Hz",Intel® Core™ i9 13gen 13900HX,32,NVIDIA® GeForce RTX™ 4090 + Intel UHD Graphics,1024,Windows 11 Home,Intel
"Laptop ASUS Vivobook Go 15 E1504FA-BQ366W 15,6"" R5 7520U 16GB RAM 512GB Dysk SSD Win11 Czarny",2199,"15,6 "", 1920 x 1080 pikseli 60 Hz",AMD Ryzen™ 5 7520U,16,AMD Radeon™ 610M,512,Windows 11 Home,AMD
"Laptop 2w1 ASUS Vivobook S 14 Flip TN3402YA-LZ054W 14"" R7 7730U 16GB RAM 512GB Dysk SSD Win11 Niebieski",3299,"14 "", ekran dotykowy 1920 x 1200 pikseli 60 Hz",AMD Ryzen™ 7 7730U,16,AMD Radeon Graphics,512,Windows 11 Home,AMD
"Laptop ASUS Vivobook 16X K3605VU-MB260 16"" i9-13900H 32GB RAM 1TB Dysk SSD RTX4050 Srebrny",5499,"16 "", 1920 x 1200 pikseli 60 Hz",Intel® Core™ i9 13gen 13900H,32,NVIDIA® GeForce RTX 4050 + Intel Iris Xe Graphics,1024,Brak,Intel
