Tytuł,Cena,Sklep,Procesor,Pamięć,Grafika,Typ ekranu,Dysk
HP Pavilion 15 Ryzen 7‑7730U/32GB/1TB Silver,"2 449,00 zł",xkom,AMD Ryzen™ 7 7730U,32 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
HP 15 i5‑1334U/16GB/1TB/Win11,"2 649,00 zł",xkom,Intel® Core™ i5-1334U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
HP Envy 14 x360 Ultra 5‑125U/16GB/512/Win11 120Hz OLED Blue,"3 499,00 zł",xkom,Intel® Core™ Ultra 5 125U,16 GB,Intel® Graphics,"Błyszczący, OLED",
HP Envy 14 x360 Ultra 7‑155U/32GB/1TB/Win11 120Hz OLED Blue,"5 899,00 zł",xkom,Intel® Core™ Ultra 7 155U,32 GB,Intel® Graphics,"Błyszczący, OLED",
Dell Inspiron 5440 Intel 7 150U/16GB/512/Win11,"3 999,00 zł",xkom,Intel® Core™ 7 150U,16 GB,Intel® Graphics,"Matowy, LED, WVA",
Gigabyte G5 (2024) i7‑13620H/32GB/512 RTX4050 144Hz,"3 899,00 zł",xkom,Intel® Core™ i7-13620H,32 GB,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",
MSI Thin 15 i5‑12450H/32GB/512/Win11X RTX3050 144Hz,"3 499,00 zł",xkom,Intel® Core™ i5-12450H,32 GB,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",
MSI Thin 15 i5‑12450H/16GB/512/Win11X RTX3050 144Hz,"3 349,00 zł",xkom,Intel® Core™ i5-12450H,16 GB,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",
Apple MacBook Air M3/16GB/512/Mac OS Północ 10R GPU,"6 999,00 zł",xkom,Apple M3,16 GB,Apple M3 [10 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",
Apple MacBook Air M3/16GB/256/Mac OS Srebrny 10R GPU,"6 199,00 zł",xkom,Apple M3,16 GB,Apple M3 [10 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",
Gigabyte AORUS 16X (2024) i7‑13650HX/32GB/1TB/Win11 RTX4060 165Hz,"6 149,00 zł",xkom,Intel® Core™ i7-13650HX,32 GB,NVIDIA GeForce RTX 4060,,1000 GB SSD M.2 PCIe
ASUS ROG Strix G16 i7‑13650HX/32GB/1TB/Win11 RTX4070 165Hz,"8 199,00 zł",xkom,Intel® Core™ i7-13650HX,32 GB,NVIDIA GeForce RTX 4070 + Intel UHD Graphics,"Matowy, LED, IPS",
ASUS ROG Zephyrus G16 Ultra 9‑185H/32GB/1TB/W11 RTX4070 OLED240Hz,"10 999,00 zł",xkom,Intel® Core™ Ultra 9 185H,32 GB,NVIDIA GeForce RTX 4070 + Intel Arc™ Graphics,"Błyszczący, OLED",
Lenovo ThinkBook 16 i3‑1315U/16GB/512/Win11P,"3 249,00 zł",xkom,Intel® Core™ i3-1315U,16 GB,Intel UHD Graphics,"Matowy, LED, IPS",
ASUS Vivobook S14 Flip i5‑1335U/24GB/512/Win11 OLED 90Hz,"4 199,00 zł",xkom,Intel® Core™ i5-1335U,24 GB,Intel UHD Graphics,"Błyszczący, OLED",
Acer Nitro 5 i5‑12500H/16GB/512+1TB RTX4060 165Hz,"4 799,00 zł",xkom,Intel® Core™ i5-12500H,16 GB,NVIDIA GeForce RTX 4060 + Intel Iris Xe Graphics,"Matowy, LED, IPS",
Dell Inspiron 3535 Ryzen 5 7530U/16GB/512/Win11 120Hz,"2 999,00 zł",xkom,AMD Ryzen™ 5 7530U,16 GB,AMD Radeon™ Graphics,"Matowy, LED, WVA",
Dell Inspiron 3520 i5‑1235U/8GB/512/Win11 120Hz,"2 299,00 zł",xkom,Intel® Core™ i5-1235U,8 GB,Intel UHD,"Matowy, LED, WVA",
HP Victus 15 i5‑13420H/16GB/512/Win11x RTX2050 144Hz,"3 449,00 zł",xkom,Intel® Core™ i5-13420H,16 GB,NVIDIA GeForce RTX 2050,"Matowy, LED, IPS",
HP Pavilion 15 Ryzen 5‑7530U/16GB/1TB/Win11 Fog Blue,"2 949,00 zł",xkom,AMD Ryzen™ 5 7530U,16 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
HP Pavilion 15 Ryzen 5‑7530U/16GB/1TB/Win11 Silver,"2 949,00 zł",xkom,AMD Ryzen™ 5 7530U,16 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
HP Pavilion 15 Ryzen 5‑7530U/16GB/512/Win11 Forest Teal,"2 799,00 zł",xkom,AMD Ryzen™ 5 7530U,16 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
Gigabyte AORUS 7 9KF i5‑12500H/16GB/512+960 RTX4060 360Hz,"4 949,00 zł",xkom,Intel® Core™ i5-12500H,16 GB,NVIDIA GeForce RTX 4060 + Intel Iris Xe Graphics,,"512 GB SSD M.2 PCIe, 960 GB SSD M.2 PCIe"
ASUS TUF Gaming A15 R7‑7735HS/32GB/512/Win11 RTX4060 144Hz,"5 199,00 zł",xkom,AMD Ryzen™ 7 7735HS,32 GB,NVIDIA GeForce RTX 4060 + AMD Radeon™ 680M,"Matowy, LED, IPS",
HP 15s Ryzen 7‑5700/32GB/960/Win11Px IPS Silver,"3 149,00 zł",xkom,AMD Ryzen™ 7 5700U,32 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
HP 15s Ryzen 7‑5700/16GB/512 IPS Silver,"2 099,00 zł",xkom,AMD Ryzen™ 7 5700U,16 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
HP 15s Ryzen 7‑5700/32GB/960/Win11 IPS Silver,"2 749,00 zł",xkom,AMD Ryzen™ 7 5700U,32 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
Lenovo ThinkBook 16 Ryzen 5 7535HS/16GB/512/Win11P,"4 199,00 zł",xkom,AMD Ryzen™ 5 7535HS,16 GB,AMD Radeon™ 660M,"Matowy, LED, IPS",
Gigabyte G6X 9KG (2024) i7‑13650HX/64GB/1TB/Win11PX RTX4060 165Hz,"6 449,00 zł",xkom,Intel® Core™ i7-13650HX,64 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
Dell Inspiron 5440 i5‑1334U/16GB/512/Win11,"3 199,00 zł",xkom,Intel® Core™ i5-1334U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, WVA",
Lenovo Legion Pro 5‑16 i7‑14700HX/32GB/1TB/Win11X RTX4070 240Hz,"9 149,00 zł",xkom,Intel® Core™ i7-14700HX,32 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
Lenovo Legion Pro 5‑16 i7‑14700HX/32GB/1TB RTX4070 240Hz,"8 599,00 zł",xkom,Intel® Core™ i7-14700HX,32 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
Gigabyte AORUS 16X (2024) i7‑14650HX/32GB/1TB RTX4070 165Hz,"7 449,00 zł",xkom,Intel® Core™ i7-14650HX,32 GB,NVIDIA GeForce RTX 4070 + Intel UHD Graphics,,1000 GB SSD M.2 PCIe
ASUS Vivobook 15X K3504VA i7‑1355U/16GB/512/Win11 OLED 120Hz,"3 599,00 zł",xkom,Intel® Core™ i7-1355U,16 GB,Intel Iris Xe Graphics,"Błyszczący, OLED",
HP Victus 16 i7‑14650HX/32GB/1TB/Win11x RTX4060 144Hz,"6 599,00 zł",xkom,Intel® Core™ i7-14650HX,32 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
HP Victus 15 i5‑12500H/32GB/512/Win11 RTX4050 144Hz,"4 189,00 zł",xkom,Intel® Core™ i5-12500H,32 GB,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",
HP Victus 15 Ryzen 5‑8645HS/32GB/1TB/Win11x RTX4050 144Hz,"4 799,00 zł",xkom,AMD Ryzen™ 5 8645HS,32 GB,NVIDIA GeForce RTX 4050 + AMD Radeon™ Graphics,"Matowy, LED, IPS",
Lenovo LOQ‑15 Ryzen 7‑7435HS/16GB/512+1TB/Win11X RTX4060 144Hz,"4 799,00 zł",xkom,AMD Ryzen™ 7 7435HS,16 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
Lenovo LOQ‑15 Ryzen 7‑7435HS/16GB/512+1TB RTX4060 144Hz,"4 499,00 zł",xkom,AMD Ryzen™ 7 7435HS,16 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
Lenovo IdeaPad Gaming 3‑15 R5‑5500H/32GB/512+1TB/Win11X RTX2050,"3 399,00 zł",xkom,AMD Ryzen™ 5 5500H,32 GB,NVIDIA GeForce RTX 2050,"Matowy, LED, IPS",
Acer Nitro 16 R7‑8845HS/64GB/1TB/Win11 RTX4060 165Hz,"6 149,00 zł",xkom,AMD Ryzen™ 7 8845HS,64 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
Acer Nitro 16 R7‑8845HS/32GB/1TB/Win11 RTX4060 165Hz,"5 649,00 zł",xkom,AMD Ryzen™ 7 8845HS,32 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
ASUS Vivobook 15 X1504VA i5‑1335U/16GB/512,"2 099,00 zł",xkom,Intel® Core™ i5-1335U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
ASUS Vivobook 15 X1504VA i3‑1315U/16GB/512/Win11,"2 299,00 zł",xkom,Intel® Core™ i3-1315U,16 GB,Intel UHD Graphics,"Matowy, LED, IPS",
MSI Thin A15 Ryzen 5‑7535HS/32GB/512 RTX3050 144Hz,"3 099,00 zł",xkom,AMD Ryzen™ 5 7535HS,32 GB,NVIDIA GeForce RTX 3050 + AMD Radeon™ 660M,"Matowy, LED, IPS",
Acer Nitro 17 R7‑8845HS/64GB/1TB+1TB/Win11X RTX4070 165Hz QHD,"8 349,00 zł",xkom,AMD Ryzen™ 7 8845HS,64 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
Acer Nitro 5 i7‑12650H/32GB/1TB/Win11PX RTX4050 165Hz,"5 699,00 zł",xkom,Intel® Core™ i7-12650H,32 GB,NVIDIA GeForce RTX 4050 + Intel UHD Graphics,"Matowy, LED, IPS",
Acer Swift 14 AI X Plus X1P‑64‑100/16GB/1TB/Win11 QHD,"4 499,00 zł",xkom,Qualcomm Snapdragon X Plus,16 GB,Qualcomm® Adreno™,"Matowy, LED, IPS",
Lenovo ThinkBook 16 Ultra 7‑155H/16GB/512+1TB/Win11P,"4 799,00 zł",xkom,Intel® Core™ Ultra 7 155H,16 GB,Intel Arc™ Graphics,"Matowy, LED",
MSI Thin 15 i5‑12450H/32GB/512/Win11X RTX2050 144Hz,"3 199,00 zł",xkom,Intel® Core™ i5-12450H,32 GB,NVIDIA GeForce RTX 2050,"Matowy, LED, IPS",
ASUS ExpertBook B3404CVA i7‑1355U/32GB/512/Win11P,"4 799,00 zł",xkom,Intel® Core™ i7-1355U,32 GB,Intel UHD Graphics,"Matowy, LED, WVA",
MSI Thin 15 i7‑13620H/32GB/512/Win11X RTX3050 144Hz,"4 149,00 zł",xkom,Intel® Core™ i7-13620H,32 GB,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",
Acer Nitro 16 R7‑8845HS/64GB/1TB RTX4060 165Hz,"5 949,00 zł",xkom,AMD Ryzen™ 7 8845HS,64 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
Acer Nitro 16 i5‑13420H/16GB/512+1TB/Win11 RTX4050 165Hz,"4 299,00 zł",xkom,Intel® Core™ i5-13420H,16 GB,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",
ASUS Vivobook S16 Flip i5‑13500H/24GB/1TB/Win11 OLED 120Hz,"5 199,00 zł",xkom,Intel® Core™ i5-13500H,24 GB,Intel Iris Xe Graphics,"Błyszczący, OLED",
ASUS ProArt Studiobook PX13 R9‑HX370 AI/32GB/1TB/Win11P RTX4060,"9 999,00 zł",xkom,AMD Ryzen™ AI 9 HX 370,32 GB,NVIDIA GeForce RTX 4060 + AMD Radeon™ 890M,"Błyszczący, OLED",
Acer Nitro 16 R7‑8845HS/32GB/512 RTX4060 165Hz,"5 299,00 zł",xkom,AMD Ryzen™ 7 8845HS,32 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
Acer Nitro 16 i5‑13420H/32GB/512+1TB/Win11X RTX4050 165Hz,"5 099,00 zł",xkom,Intel® Core™ i5-13420H,32 GB,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",
Lenovo ThinkPad L16 Ultra 5‑125U/32GB/512/Win11P,"5 699,00 zł",xkom,Intel® Core™ Ultra 5 125U,32 GB,Intel® Graphics,"Matowy, LED, IPS",
Acer Aspire 3 R7‑5700U/32GB/1TB+1TB/Win11,"3 199,00 zł",xkom,AMD Ryzen™ 7 5700U,32 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
Acer Aspire 3 R7‑5700U/32GB/1TB/Win11,"2 999,00 zł",xkom,AMD Ryzen™ 7 5700U,32 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
Dell Inspiron 14 Plus Ultra 9 185H/32GB/1TB/Win11 2.8K,"6 699,00 zł",xkom,Intel® Core™ Ultra 9 185H,32 GB,Intel Arc™ Graphics,"Matowy, LED, WVA",
ASUS Vivobook 16 R5‑7430U/16GB/512/Win11,"2 799,00 zł",xkom,AMD Ryzen™ 5 7430U,16 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
"Microsoft Surface Laptop Copilot+ PC 15"" X Elite/16GB/1TB (Platynowy)","7 959,00 zł",xkom,Qualcomm Snapdragon X Elite,16 GB,Qualcomm® Adreno™,"Błyszczący, LED",
ASUS Vivobook 17X M3704YA R5‑7430U/24GB/1TB/Win11,"3 699,00 zł",xkom,AMD Ryzen™ 5 7430U,24 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
ASUS TUF Gaming F16 i7‑13650HX/32GB/1TB RTX4060 165Hz,"5 699,00 zł",xkom,Intel® Core™ i7-13650HX,32 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
ASUS TUF Gaming F16 i7‑13650HX/16GB/1TB RTX4060 165Hz,"5 399,00 zł",xkom,Intel® Core™ i7-13650HX,16 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
ASUS TUF Gaming F15 i7‑13620H/32GB/1TB/Win11 RTX4060 144Hz,"5 899,00 zł",xkom,Intel® Core™ i7-13620H,32 GB,NVIDIA GeForce RTX 4060 + Intel Iris Xe Graphics,"Matowy, LED, IPS",
ASUS TUF Gaming F15 i7‑13620H/16GB/1TB/Win11 RTX4060 144Hz,"5 599,00 zł",xkom,Intel® Core™ i7-13620H,16 GB,NVIDIA GeForce RTX 4060 + Intel Iris Xe Graphics,"Matowy, LED, IPS",
ASUS ROG Strix G18 i7‑13650HX/32GB/512/Win11 RTX4060 240Hz,"7 399,00 zł",xkom,Intel® Core™ i7-13650HX,32 GB,NVIDIA GeForce RTX 4060 + Intel UHD Graphics,"Matowy, LED, IPS",
Dell Latitude 5550 Ultra 7 165U/32GB/512+1TB/Win11P,"7 799,00 zł",xkom,Intel® Core™ Ultra 7 165U,32 GB,Intel® Graphics,"Matowy, LED, IPS",
Dell Latitude 5550 Ultra 5 135U/16GB/512/Win11P,"5 549,00 zł",xkom,Intel® Core™ Ultra 5 135U,16 GB,Intel® Graphics,"Matowy, LED, IPS",
ASUS ZenBook 14 UM3402YA R5‑7430U/16GB/1TB/Win11 OLED 90Hz,"3 899,00 zł",xkom,AMD Ryzen™ 5 7430U,16 GB,AMD Radeon™ Graphics,"Błyszczący, OLED",
Acer Nitro 17 R7‑8845HS/32GB/1TB/Win11X RTX4070 165Hz QHD,"7 549,00 zł",xkom,AMD Ryzen™ 7 8845HS,32 GB,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",
Acer Nitro V R5‑7535HS/16GB/512+1TB RTX3050 144Hz,"3 299,00 zł",xkom,AMD Ryzen™ 5 7535HS,16 GB,NVIDIA GeForce RTX 3050,"Matowy, LED",
Lenovo ThinkPad X1 Carbon Ultra 7‑155U/32GB/1TB/Win11P,"13 799,00 zł",xkom,Intel® Core™ Ultra 7 155U,32 GB,Intel® Graphics,"Matowy, LED, IPS",
Dell Latitude 5550 Ultra 7 165U/32GB/512/Win11P,"7 499,00 zł",xkom,Intel® Core™ Ultra 7 165U,32 GB,Intel® Graphics,"Matowy, LED, IPS",
Dell Inspiron 2in1 7440 Intel 7 150U/16GB/1TB/Win11P,"5 499,00 zł",xkom,Intel® Core™ 7 150U,16 GB,Intel® Graphics,"Błyszczący, LED, WVA",
Dell Inspiron 16 Plus Ultra 7 155H/32GB/2TB/Win11P RTX4060,"9 599,00 zł",xkom,Intel® Core™ Ultra 7 155H,32 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, WVA",
Dell XPS 13 9340 Ultra 7 155H/64GB/1TB/Win11P,"12 399,00 zł",xkom,Intel® Core™ Ultra 7 155H,64 GB,Intel Arc™ Graphics,"Matowy, LED, WVA",
Gigabyte G5 (2024) i7‑13620H/16GB/512/Win11X RTX4050 144Hz,"3 999,00 zł",xkom,Intel® Core™ i7-13620H,16 GB,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",
MSI Modern 15 H AI Ultra 7‑155H/32GB/512/Win11,"3 899,00 zł",xkom,Intel® Core™ Ultra 7 155H,32 GB,Intel Arc™ Graphics,"Matowy, LED, IPS",
Apple MacBook Air M3/16GB/512/Mac OS Gwiezdna szarość 10R GPU,"7 999,00 zł",xkom,Apple M3,16 GB,Apple M3 [10 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",
Apple MacBook Air M3/16GB/256/Mac OS Gwiezdna szarość 10R GPU,"6 199,00 zł",xkom,Apple M3,16 GB,Apple M3 [10 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",
Gigabyte G6X 9KG (2024) i7‑13650HX/16GB/1TB+1TB RTX4060 165Hz,"4 749,00 zł",xkom,Intel® Core™ i7-13650HX,16 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
ASUS TUF Gaming F15 i7‑13620H/32GB/1TB RTX4050 144Hz,"4 599,00 zł",xkom,Intel® Core™ i7-13620H,32 GB,NVIDIA GeForce RTX 4050 + Intel Iris Xe Graphics,"Matowy, LED, IPS",
Lenovo IdeaPad Pro 5‑16 Ultra 7‑155H/32GB/512/Win11,"4 999,00 zł",xkom,Intel® Core™ Ultra 7 155H,32 GB,Intel Arc™ Graphics,"Matowy, LED, IPS",
Lenovo V14 i5‑13420H/16GB/512/Win11P,"3 099,00 zł",xkom,Intel® Core™ i5-13420H,16 GB,Intel UHD Graphics + Intel UHD,"Matowy, LED",
Lenovo V14 i5‑13420H/8GB/512/Win11P,"2 949,00 zł",xkom,Intel® Core™ i5-13420H,8 GB,Intel UHD Graphics + Intel UHD,"Matowy, LED",
Dell Inspiron 3520 i5‑1235U/16GB/512+1TB/Win11 120Hz,"2 699,00 zł",xkom,Intel® Core™ i5-1235U,16 GB,Intel UHD,"Matowy, LED, WVA",
Acer Chromebook Plus 515 Google AI laptop i5‑1235U/8GB/512/Chrome,"1 999,00 zł",xkom,Intel® Core™ i5-1235U,8 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
MSI Modern 15 i5‑1235U/16GB/512/Win11,"2 499,00 zł",xkom,Intel® Core™ i5-1235U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
MSI Modern 15 i7‑1255U/16GB/512/Win11,"2 799,00 zł",xkom,Intel® Core™ i7-1255U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
MSI Bravo 15 Ryzen 7‑7735HS/16GB/1TB/Win11X RTX4060 144Hz,"4 799,00 zł",xkom,AMD Ryzen™ 7 7735HS,16 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
HP Pavilion 15 Ryzen 5‑7530U/32GB/1TB/Win11 Silver,"3 199,00 zł",xkom,AMD Ryzen™ 5 7530U,32 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
Dell Latitude 5440 i7‑1365U/16GB/512/Win11P,"6 299,00 zł",xkom,Intel® Core™ i7-1365U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, WVA",
Dell Vostro 3520 i5‑1235U/16GB/512/Win11P EDU,"2 499,00 zł",xkom,Intel® Core™ i5-1235U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, WVA",
Gigabyte G6X 9KG (2024) i7‑13650HX/16GB/1TB RTX4060 165Hz,"4 449,00 zł",xkom,Intel® Core™ i7-13650HX,16 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
Acer Nitro V16 R7‑8845HS/16GB/1TB/Win11 RTX4060 165Hz,"4 999,00 zł",xkom,AMD Ryzen™ 7 8845HS,16 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
ASUS TUF Gaming A15 R5‑7535HS/32GB/512/Win11 RTX3050 144Hz,"3 699,00 zł",xkom,AMD Ryzen™ 5 7535HS,32 GB,NVIDIA GeForce RTX 3050 + AMD Radeon™ Graphics,"Matowy, LED, IPS",
Lenovo LOQ‑15 i5‑12450HX/32GB/512+1TB/Win11X RTX4050 144Hz,"4 199,00 zł",xkom,Intel® Core™ i5-12450HX,32 GB,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",
MSI Thin A15 Ryzen 5‑7535HS/16GB/512 RTX3050 144Hz,"2 699,00 zł",xkom,AMD Ryzen™ 5 7535HS,16 GB,NVIDIA GeForce RTX 3050 + AMD Radeon™ 660M,"Matowy, LED, IPS",
Apple MacBook Air M2/8GB/256/Mac OS Midnight,"4 749,00 zł",xkom,Apple M2,8 GB,Apple M2 [10 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",
Acer Swift Go R7‑8845HS/16GB/512/Win11 OLED,"3 849,00 zł",xkom,AMD Ryzen™ 7 8845HS,16 GB,AMD Radeon™ 780M,"Błyszczący, OLED",
Lenovo ThinkBook 16 Ultra 5‑125U/16GB/512/Win11P,"3 999,00 zł",xkom,Intel® Core™ Ultra 5 125U,16 GB,Intel® Graphics,"Matowy, LED",
Dell Vostro 3530 i5‑1334U/16GB/512/Win11P,"2 799,00 zł",xkom,Intel® Core™ i5-1334U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, WVA",
Lenovo V15 i5‑1235U/16GB/512/Win11,"2 349,00 zł",xkom,Intel® Core™ i5-1235U,16 GB,Intel Iris Xe Graphics,"Matowy, LED",
Lenovo Yoga 7‑14 Ryzen 7‑8840HS/16GB/512/Win11 OLED,"3 999,00 zł",xkom,AMD Ryzen™ 7 8840HS,16 GB,AMD Radeon™ 780M,"Błyszczący, OLED",
Acer Aspire 3 i5‑1235U/16GB/512/Win11,"2 599,00 zł",xkom,Intel® Core™ i5-1235U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
Dell Inspiron 3525 Ryzen 5 5500U/16GB/512+1TB/Win11 120Hz,"2 299,00 zł",xkom,AMD Ryzen™ 5 5500U,16 GB,AMD Radeon™ Graphics,"Matowy, LED, WVA",
Acer Nitro V i5‑13420H/16GB/512/Win11 RTX2050 144Hz,"2 899,00 zł",xkom,Intel® Core™ i5-13420H,16 GB,NVIDIA GeForce RTX 2050,"Matowy, LED, IPS",
Acer Nitro V i5‑13420H/8GB/512/Win11 RTX2050 144Hz,"2 699,00 zł",xkom,Intel® Core™ i5-13420H,8 GB,NVIDIA GeForce RTX 2050,"Matowy, LED, IPS",
Dell Vostro 3520 i5‑1235U/16GB/1TB/Win11P,"2 899,00 zł",xkom,Intel® Core™ i5-1235U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, WVA",
HP Victus 15 i5‑12450H/32GB/1TB/Win11 RTX3050 144Hz,"3 599,00 zł",xkom,Intel® Core™ i5-12450H,32 GB,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",
Lenovo LOQ‑15 i5‑12450HX/16GB/512+1TB/Win11X RTX4050 144Hz,"3 799,00 zł",xkom,Intel® Core™ i5-12450HX,16 GB,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",
Lenovo Legion Slim 5‑16 Ryzen 7‑8845HS/16GB/512/Win11 RTX4060 240Hz,"6 299,00 zł",xkom,AMD Ryzen™ 7 8845HS,16 GB,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",
Dell Inspiron 3520 i5‑1235U/16GB/512/Win11 120Hz,"2 499,00 zł",xkom,Intel® Core™ i5-1235U,16 GB,Intel UHD,"Matowy, LED, WVA",
Dell Inspiron 3520 i7‑1255U/16GB/1TB/Win11 120Hz Srebrny,"2 899,00 zł",xkom,Intel® Core™ i7-1255U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, WVA",
Lenovo Yoga Slim 7‑14 X Elite X1E‑78‑100/32GB/1TB/Win11 OLED AI,"4 999,00 zł",xkom,Qualcomm Snapdragon X Elite,32 GB,Qualcomm® Adreno™,"Błyszczący, OLED",
ASUS Vivobook 16X i5‑13500H/16GB/1TB/Win11 RTX3050,"3 699,00 zł",xkom,Intel® Core™ i5-13500H,16 GB,NVIDIA GeForce RTX 3050 + Intel UHD Graphics,"Matowy, LED, IPS",
HP ProBook 450 G10 i5‑1335U/16GB/512/Win11P,"3 699,00 zł",xkom,Intel® Core™ i5-1335U,16 GB,Intel UHD,"Matowy, LED, IPS",
ASUS Vivobook 15 R5‑7430U/16GB/512/Win11,"1 899,00 zł",xkom,AMD Ryzen™ 5 7430U,16 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
MSI Thin 15 i5‑12450H/16GB/512 RTX3050 144Hz,"2 799,00 zł",xkom,Intel® Core™ i5-12450H,16 GB,NVIDIA GeForce RTX 3050,"Matowy, LED, IPS",
Dell Vostro 3520 i5‑1235U/16GB/512/Win11P,"2 549,00 zł",xkom,Intel® Core™ i5-1235U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, WVA",
HP Victus 15 i5‑12450H/8GB/512 RTX3050 144Hz,"2 899,00 zł",xkom,Intel® Core™ i5-12450H,8 GB,NVIDIA GeForce RTX 3050 + Intel UHD Graphics,"Matowy, LED, IPS",
Lenovo Chromebook IP Duet 3 QS7c/8GB/128/Chrome OS,"1 499,00 zł",xkom,Qualcomm Snapdragon 7c Gen 2,8 GB,,"Błyszczący, LED, IPS",128 GB eMMC
Dell Latitude 5440 i5‑1335U/16GB/512/Win11P,"5 199,00 zł",xkom,Intel® Core™ i5-1335U,16 GB,Intel Iris Xe Graphics,"Matowy, LED, WVA",
HP 15s Ryzen 7‑5700/16GB/960 IPS Silver,"2 249,00 zł",xkom,AMD Ryzen™ 7 5700U,16 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
HP 255 G9 Ryzen 5‑5625U/32GB/1TB/Win11P,"2 779,00 zł",xkom,AMD Ryzen™ 5 5625U,32 GB,AMD Radeon™ Graphics,"Matowy, LED, IPS",
HP 250 G9 i5‑1235U/32GB/512/Win11P,"2 799,00 zł",xkom,Intel® Core™ i5-1235U,32 GB,Intel Iris Xe Graphics,"Matowy, LED, IPS",
Apple MacBook Pro M4 Max/36GB/1TB/Mac OS Srebrny 32R GPU,"16 499,00 zł",xkom,Apple M4 Max,36 GB,Apple M4 Max [32 rdzenie],"Błyszczący, mini-LED, Liquid Retina XDR",
Acer TravelMate P4 i7‑1355U/16GB/512/Win11 PRO RTX2050 NBD,"5 199,00 zł",xkom,Intel® Core™ i7-1355U,16 GB,NVIDIA GeForce RTX 2050 + Intel UHD Graphics,"Matowy, LED, IPS",
Gigabyte AORUS 16X (2024) i7‑14650HX/32GB/1TB+1TB/W11X RTX4070 165Hz,"8 249,00 zł",xkom,Intel® Core™ i7-14650HX,32 GB,NVIDIA GeForce RTX 4070 + Intel UHD Graphics,,2000 GB SSD M.2 PCIe
