Tytuł,Cena,Sklep,Procesor,RAM,Dysk SSD,Karta graficzna:,Ekran,System operacyjny,Dysk HDD:,Firma procesora
"Laptop APPLE MacBook Air 2023 15.3"" Retina M2 8GB RAM 256GB SSD macOS Północ",4499.0,MediaExpert,Apple M2,8,256,Apple M2 (10 rdzeni),15.3,macOS Ventura,,Apple
"Laptop APPLE MacBook Air 2024 15.3"" Retina M3 24GB RAM 512GB SSD macOS Północ",8499.0,MediaExpert,Apple M3,24,512,Apple M3 (10 rdzeni),15.3,macOS Sequoia,,Apple
"Laptop APPLE MacBook Pro 2024 14"" Retina M4 24GB RAM 1TB SSD macOS Srebrny",10499.0,MediaExpert,Apple M4,24,1000,Apple M4 (10 rdzeni),14.2,macOS Sequoia,,Apple
"Laptop ASUS TUF Gaming F15 FX507VU-LP180 15.6"" IPS 144Hz i7-13620H 16GB RAM 1TB SSD GeForce RTX4050 DLSS 3",4299.0,MediaExpert,Intel Core i7-13620H,16,1000,NVIDIA GeForce RTX 4050 + Intel Iris Xe Graphics,15.6,Brak,,Intel
"Laptop DELL Inspiron 3520-2093 15.6"" IPS i5-1235U 16GB RAM 512GB SSD Windows 11 Home",2674.1,MediaExpert,Intel Core i5-1235U,16,512,Intel Iris Xe Graphics,15.6,Windows 11 Home,,Intel
"Laptop ACER Swift Go 16 SFG16-72-56G9 16"" IPS Ultra 5-125U 32GB RAM 512GB SSD Windows 11 Home",3899.98,MediaExpert,Intel Core Ultra 5-125U,32,512,Intel Graphics,16,Windows 11 Home,,Intel
"Laptop LENOVO ThinkBook G6 IRL 16"" IPS i5-1335U 8GB RAM 512GB SSD Windows 11 Professional",2969.97,MediaExpert,Intel Core i5-1335U,8,512,Intel UHD Graphics,16,Windows 11 Professional,,Intel
"Laptop LENOVO IdeaPad Gaming 3 16IAH7 16"" IPS 165Hz i5-12450H 16GB RAM 512GB SSD GeForce RTX3060 Windows 11 Home",3799.0,MediaExpert,Intel Core i5-12450H,16,512,NVIDIA GeForce RTX 3060 + Intel UHD Graphics,16,Windows 11 Home,,Intel
"Laptop ACER Aspire Vero AV14-51-59YM 14"" IPS i5-1235U 16GB RAM 512GB SSD Windows 11 Home",4149.99,MediaExpert,Intel Core i5-1235U,16,512,Intel Iris Xe Graphics,14,Windows 11 Home,,Intel
"Laptop APPLE MacBook Air 2024 15.3"" Retina M3 24GB RAM 512GB SSD macOS Księżycowa poświata",8699.0,MediaExpert,Apple M3,24,512,Apple M3 (10 rdzeni),15.3,macOS Sequoia,,Apple
"Laptop APPLE MacBook Pro 2024 16"" Retina M4 Max 36GB RAM 1TB SSD macOS Gwiezdna czerń",18499.0,MediaExpert,Apple M4 Max,36,1000,Apple M4 Max (32 rdzeni),16.2,macOS Sequoia,,Apple
"Laptop ASUS TUF Gaming A15 FA506NF-HN004 15.6"" IPS 144Hz R5-7535HS 8GB RAM 512GB SSD GeForce RTX2050 Windows 11 Home",2999.99,MediaExpert,AMD Ryzen 5 7535HS,8,512,NVIDIA GeForce RTX 2050 + AMD Radeon 660M,15.6,Brak,,AMD
"Laptop MICROSOFT Surface Pro Copilot+ PC 13"" Snapdragon X Plus 16GB RAM 512GB SSD Windows 11 Home",5699.0,MediaExpert,Qualcomm Snapdragon X Plus,16,512,Qualcomm Adreno,13,Windows 11 Home,,Qualcomm
"Laptop ASUS VivoBook 16X K3605ZF-MB327W 16"" IPS i5-12500H 16GB RAM 512GB SSD GeForce RTX2050 Windows 11 Home",2999.99,MediaExpert,Intel Core i5-12500H,16,512,NVIDIA GeForce RTX 2050 + Intel Iris Xe Graphics,16,Windows 11 Home,,Intel
