Tytuł,Cena,Sklep,Procesor,RAM,Grafika,Typ ekranu,Dysk,Dysk SSD,Dysk SSD,System operacyjny,Firma procesora
Dell Precision 7680 i7‑13850HX/32GB/1TB/Win11P RTX2000,14789.0,xkom,Intel® Core™ i7-13850HX,32,Intel UHD Graphics + NVIDIA RTX 2000 Ada,"Matowy, LED, WVA",1TB,,1024,Windows 11 Professional,Intel
Dell Latitude 7640 i7‑1355U/16GB/512/Win11P,8599.0,xkom,Intel® Core™ i7-1355U,16,Intel Iris Xe Graphics,"Matowy, LED, WVA",512,512,512,Windows 11 Professional,Intel
Gigabyte AORUS 15 BSF i7‑13700H/32GB/1TB/Win11 RTX4070 165Hz,7399.0,xkom,Intel® Core™ i7-13700H,32,NVIDIA GeForce RTX 4070 + Intel Iris Xe Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,Intel
ASUS ROG Flow X16 i9‑13900H/16GB/1TB/Win11 RTX4070 240Hz,10999.0,xkom,Intel® Core™ i9-13900H,16,NVIDIA GeForce RTX 4070 + Intel Iris Xe Graphics,"Błyszczący, mini-LED",1TB,,1024,Windows 11 Home,Intel
ASUS ROG Zephyrus Duo 16 R9‑7945HX/64GB/4TB/Win11 RTX4090 240Hz,19999.0,xkom,AMD Ryzen™ 9 7945HX,64,NVIDIA GeForce RTX 4090 + AMD Radeon™ 610M,"Matowy, mini-LED",4TB,,4096,Windows 11 Home,AMD
MSI Cyborg 15 i5‑12450H/32GB/512/Win11X RTX4050 144Hz,4499.0,xkom,Intel® Core™ i5-12450H,32,NVIDIA GeForce RTX 4050 + Intel UHD Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
MSI Cyborg 15 i5‑12450H/32GB/512 RTX4050 144Hz,3999.0,xkom,Intel® Core™ i5-12450H,32,NVIDIA GeForce RTX 4050 + Intel UHD Graphics,"Matowy, LED, IPS",,,0,Brak,Intel
MSI Cyborg 15 i5‑12450H/16GB/512/Win11X RTX4050 144Hz,4099.0,xkom,Intel® Core™ i5-12450H,16,NVIDIA GeForce RTX 4050 + Intel UHD Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Home,Intel
"Microsoft Surface Laptop 5 13"" i5/8GB/512GB/Win11 (Czarny)",4159.0,xkom,Intel® Core™ i5-1235U,8,Intel Iris Xe Graphics,"Błyszczący, LED",512GB,,512,Windows 11 Home,Intel
Lenovo IdeaPad 5‑15 Ryzen 7 5825U/16GB/512/Win11,3499.0,xkom,AMD Ryzen™ 7 5825U,16,AMD Radeon™ Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Home,AMD
HP 15s Ryzen 7‑5700/16GB/512/Win11Px IPS Silver,2799.0,xkom,AMD Ryzen™ 7 5700U,16,AMD Radeon™ Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,AMD
HP 15s Ryzen 7‑5700/8GB/512/Win11Px IPS Silver,2699.0,xkom,AMD Ryzen™ 7 5700U,8,AMD Radeon™ Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,AMD
Apple MacBook Air M2/24GB/512/Mac OS Starlight,7699.0,xkom,Apple M2,24,Apple M2 [10 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",512,512,512,macOS Sonoma,Apple
Apple MacBook Air M2/24GB/512/Mac OS Midnight,7699.0,xkom,Apple M2,24,Apple M2 [10 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",512,512,512,macOS Sonoma,Apple
Apple MacBook Air M2/8GB/512/Mac OS Space Gray,4999.0,xkom,Apple M2,8,Apple M2 [10 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",512,512,512,macOS Sonoma,Apple
Apple MacBook Air M2/8GB/512/Mac OS Starlight,5699.0,xkom,Apple M2,8,Apple M2 [10 rdzeni],"Błyszczący, LED, IPS, Liquid Retina",512,512,512,macOS Sonoma,Apple
HP 15s Ryzen 7‑5700/8GB/960/Win11 IPS Silver,2449.0,xkom,AMD Ryzen™ 7 5700U,8,AMD Radeon™ Graphics,"Matowy, LED, IPS",960,960,960,Windows 11 Home,AMD
Dell Latitude 5550 Ultra 7 165U/16GB/1TB/Win11P LTE,7799.0,xkom,Intel® Core™ Ultra 7 165U,16,Intel® Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
Dell Latitude 5550 Ultra 5 135U/16GB/512/Win11P LTE,6299.0,xkom,Intel® Core™ Ultra 5 135U,16,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Dell Latitude 5550 Ultra 7 165U/32GB/512+1TB/Win11P LTE,8499.0,xkom,Intel® Core™ Ultra 7 165U,32,Intel® Graphics,"Matowy, LED, IPS",512+1TB,,1536,Windows 11 Professional,Intel
Dell Latitude 5550 Ultra 7 165U/32GB/512/Win11P LTE,8199.0,xkom,Intel® Core™ Ultra 7 165U,32,Intel® Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Dell Latitude 5550 i5‑1335U/16GB/512+2TB/Win11P LTE,6699.0,xkom,Intel® Core™ i5-1335U,16,Intel Iris Xe Graphics,"Matowy, LED, IPS",512+2TB,,2560,Windows 11 Professional,Intel
Dell Latitude 5550 i5‑1335U/16GB/512+1TB/Win11P LTE,6599.0,xkom,Intel® Core™ i5-1335U,16,Intel Iris Xe Graphics,"Matowy, LED, IPS",512+1TB,,1536,Windows 11 Professional,Intel
Dell Latitude 5550 i5‑1335U/16GB/512/Win11P LTE,6299.0,xkom,Intel® Core™ i5-1335U,16,Intel Iris Xe Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
ASUS Vivobook Go 14 N4500/4GB/64 eMMC/Win11,999.0,xkom,Intel® Celeron N4500,4,Intel UHD Graphics,"Matowy, LED, IPS",64 eMMC,,0,Windows 11 Home,Intel
ASUS ZenBook S16 UM5606WA R9‑HX370 AI/32GB/2TB/Win11P OLED 120Hz,8799.0,xkom,AMD Ryzen™ AI 9 HX 370,32,AMD Radeon™ 890M,"Błyszczący, OLED",2TB,,2048,Windows 11 Professional,AMD
ASUS Vivobook S14 S5406SA Ultra 5‑226V/16GB/512/Win11 OLED 120Hz,4999.0,xkom,Intel® Core™ Ultra 5 226V,16,Intel® Arc™ Graphics 130V,"Błyszczący, OLED",512,512,512,Windows 11 Home,Intel
ASUS TUF Gaming A15 R7‑7435HS/32GB/1TB RTX4060 144Hz,5299.0,xkom,AMD Ryzen™ 7 7435HS,32,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",,,0,Brak,AMD
ASUS TUF Gaming A15 R7‑7435HS/16GB/1TB RTX4060 144Hz,4999.0,xkom,AMD Ryzen™ 7 7435HS,16,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",,,0,Brak,AMD
ASUS TUF Gaming A15 R7‑7435HS/32GB/512 RTX4060 144Hz,4999.0,xkom,AMD Ryzen™ 7 7435HS,32,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",,,0,Brak,AMD
ASUS TUF Gaming A15 R7‑7435HS/16GB/512 RTX4060 144Hz,4699.0,xkom,AMD Ryzen™ 7 7435HS,16,NVIDIA GeForce RTX 4060,"Matowy, LED, IPS",,,0,Brak,AMD
ASUS TUF Gaming A16 R9‑HX370 AI/32GB/1TB/Win11 RTX4060 165Hz,7199.0,xkom,AMD Ryzen™ AI 9 HX 370,32,NVIDIA GeForce RTX 4060 + AMD Radeon™ Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,AMD
ASUS TUF Gaming A16 R9‑HX370 AI/32GB/1TB/Win11 RTX4070 165Hz,10099.0,xkom,AMD Ryzen™ AI 9 HX 370,32,NVIDIA GeForce RTX 4070 + AMD Radeon™ Graphics,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,AMD
ASUS TUF Gaming A14 R7‑8845HS/16GB/1TB RTX4050 165Hz,4799.0,xkom,AMD Ryzen™ 7 8845HS,16,NVIDIA GeForce RTX 4050 + AMD Radeon™ Graphics,"Matowy, LED, IPS",,,0,Brak,AMD
Acer Nitro 17 R7‑8845HS/64GB/1TB+1TB/Win11 RTX4070 165Hz QHD,8199.0,xkom,AMD Ryzen™ 7 8845HS,64,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",1TB+1TB,,2048,Windows 11 Home,AMD
Acer Nitro 17 R7‑8845HS/64GB/1TB/Win11 RTX4070 165Hz QHD,7899.0,xkom,AMD Ryzen™ 7 8845HS,64,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,AMD
Acer Nitro 17 R7‑8845HS/32GB/1TB+1TB/Win11 RTX4070 165Hz QHD,7699.0,xkom,AMD Ryzen™ 7 8845HS,32,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",1TB+1TB,,2048,Windows 11 Home,AMD
Acer Nitro 17 R7‑8845HS/32GB/1TB/Win11 RTX4070 165Hz QHD,7399.0,xkom,AMD Ryzen™ 7 8845HS,32,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,AMD
Dell Vostro 3440 i5‑1335U/8GB/512/Win11P,3099.0,xkom,Intel® Core™ i5-1335U,8,Intel UHD,"Matowy, LED, WVA",512,512,512,Windows 11 Professional,Intel
Dell XPS 14 9440 Ultra 7 155H/64GB/4TB/Win11P RTX4050 OLED,18399.0,xkom,Intel® Core™ Ultra 7 155H,64,NVIDIA GeForce RTX 4050,"Błyszczący, OLED",4TB,,4096,Windows 11 Professional,Intel
Dell XPS 14 9440 Ultra 7 155H/64GB/2TB/Win11P RTX4050 OLED,16999.0,xkom,Intel® Core™ Ultra 7 155H,64,NVIDIA GeForce RTX 4050,"Błyszczący, OLED",2TB,,2048,Windows 11 Professional,Intel
Dell XPS 14 9440 Ultra 7 155H/64GB/1TB/Win11P RTX4050 OLED,16199.0,xkom,Intel® Core™ Ultra 7 155H,64,NVIDIA GeForce RTX 4050,"Błyszczący, OLED",1TB,,1024,Windows 11 Professional,Intel
Dell XPS 14 9440 Ultra 7 155H/32GB/1TB/Win11P RTX4050 OLED,14799.0,xkom,Intel® Core™ Ultra 7 155H,32,NVIDIA GeForce RTX 4050,"Błyszczący, OLED",1TB,,1024,Windows 11 Professional,Intel
Dell XPS 14 9440 Ultra 7 155H/16GB/1TB/Win11P RTX4050,13499.0,xkom,Intel® Core™ Ultra 7 155H,16,NVIDIA GeForce RTX 4050,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
Dell XPS 14 9440 Ultra 7 155H/16GB/512/Win11P,10999.0,xkom,Intel® Core™ Ultra 7 155H,16,Intel Arc™ Graphics,"Matowy, LED, IPS",512,512,512,Windows 11 Professional,Intel
Dell XPS 13 9350 Ultra 7‑258V/32GB/1TB/Win11P 2.8K Touch OLED AI,11999.0,xkom,Intel® Core™ Ultra 7 258V,32,Intel® Arc™ Graphics 140V,"Błyszczący, OLED",1TB,,1024,Windows 11 Professional,Intel
Dell XPS 13 9350 Ultra 7‑258V/32GB/1TB/Win11P AI,11399.0,xkom,Intel® Core™ Ultra 7 258V,32,Intel® Arc™ Graphics 140V,"Błyszczący, LED, WVA",1TB,,1024,Windows 11 Professional,Intel
Dell XPS 13 9350 Ultra 7‑256V/16GB/512/Win11P AI,10599.0,xkom,Intel® Core™ Ultra 7 256V,16,Intel® Arc™ Graphics 140V,"Błyszczący, LED, WVA",512,512,512,Windows 11 Professional,Intel
Dell XPS 13 9350 Ultra 7‑258V/32GB/1TB/Win11P 2.8K Touch OLED AI,11999.0,xkom,Intel® Core™ Ultra 7 258V,32,Intel® Arc™ Graphics 140V,"Błyszczący, OLED",1TB,,1024,Windows 11 Professional,Intel
Dell XPS 13 9350 Ultra 7‑258V/32GB/1TB/Win11P AI,11399.0,xkom,Intel® Core™ Ultra 7 258V,32,Intel® Arc™ Graphics 140V,"Błyszczący, LED, WVA",1TB,,1024,Windows 11 Professional,Intel
Dell XPS 13 9350 Ultra 7‑256V/16GB/512/Win11P AI,10599.0,xkom,Intel® Core™ Ultra 7 256V,16,Intel® Arc™ Graphics 140V,"Błyszczący, LED, WVA",512,512,512,Windows 11 Professional,Intel
Dell XPS 16 9640 Ultra 7 155H/64GB/4TB/Win11P RTX4070 OLED,21799.0,xkom,Intel® Core™ Ultra 7 155H,64,NVIDIA GeForce RTX 4070,"Błyszczący, OLED",4TB,,4096,Windows 11 Professional,Intel
Dell XPS 16 9640 Ultra 7 155H/64GB/2TB/Win11P RTX4070 OLED,20499.0,xkom,Intel® Core™ Ultra 7 155H,64,NVIDIA GeForce RTX 4070,"Błyszczący, OLED",2TB,,2048,Windows 11 Professional,Intel
Dell XPS 16 9640 Ultra 7 155H/64GB/1TB/Win11P RTX4070 OLED,19499.0,xkom,Intel® Core™ Ultra 7 155H,64,NVIDIA GeForce RTX 4070,"Błyszczący, OLED",1TB,,1024,Windows 11 Professional,Intel
Dell XPS 16 9640 Ultra 9 185H/32GB/1TB/Win11P RTX4070 OLED,18599.0,xkom,Intel® Core™ Ultra 9 185H,32,NVIDIA GeForce RTX 4070,"Błyszczący, OLED",1TB,,1024,Windows 11 Professional,Intel
Dell XPS 16 9640 Ultra 9 185H/32GB/1TB/Win11P RTX4060 OLED,16999.0,xkom,Intel® Core™ Ultra 9 185H,32,NVIDIA GeForce RTX 4060,"Błyszczący, OLED",1TB,,1024,Windows 11 Professional,Intel
Dell XPS 16 9640 Ultra 7 155H/32GB/1TB/Win11P RTX4060 OLED,16699.0,xkom,Intel® Core™ Ultra 7 155H,32,NVIDIA GeForce RTX 4060,"Błyszczący, OLED",1TB,,1024,Windows 11 Professional,Intel
Dell XPS 16 9640 Ultra 7 155H/16GB/1TB/Win11P RTX4050,14699.0,xkom,Intel® Core™ Ultra 7 155H,16,NVIDIA GeForce RTX 4050,"Matowy, LED, WVA",1TB,,1024,Windows 11 Professional,Intel
Dell XPS 16 9640 Ultra 7 155H/32GB/1TB/Win11P RTX4060,15699.0,xkom,Intel® Core™ Ultra 7 155H,32,NVIDIA GeForce RTX 4060,"Matowy, LED, WVA",1TB,,1024,Windows 11 Professional,Intel
Dell XPS 16 9640 Ultra 7 155H/64GB/4TB/Win11P RTX4070 OLED,21799.0,xkom,Intel® Core™ Ultra 7 155H,64,NVIDIA GeForce RTX 4070,"Błyszczący, OLED",4TB,,4096,Windows 11 Professional,Intel
Dell XPS 16 9640 Ultra 7 155H/64GB/2TB/Win11P RTX4070 OLED,20499.0,xkom,Intel® Core™ Ultra 7 155H,64,NVIDIA GeForce RTX 4070,"Błyszczący, OLED",2TB,,2048,Windows 11 Professional,Intel
Dell XPS 16 9640 Ultra 7 155H/64GB/1TB/Win11P RTX4070 OLED,19499.0,xkom,Intel® Core™ Ultra 7 155H,64,NVIDIA GeForce RTX 4070,"Błyszczący, OLED",1TB,,1024,Windows 11 Professional,Intel
Dell XPS 16 9640 Ultra 9 185H/32GB/1TB/Win11P RTX4070 OLED,18599.0,xkom,Intel® Core™ Ultra 9 185H,32,NVIDIA GeForce RTX 4070,"Błyszczący, OLED",1TB,,1024,Windows 11 Professional,Intel
Dell XPS 16 9640 Ultra 9 185H/32GB/1TB/Win11P RTX4060 OLED,16999.0,xkom,Intel® Core™ Ultra 9 185H,32,NVIDIA GeForce RTX 4060,"Błyszczący, OLED",1TB,,1024,Windows 11 Professional,Intel
Dell XPS 16 9640 Ultra 7 155H/32GB/1TB/Win11P RTX4060 OLED,16699.0,xkom,Intel® Core™ Ultra 7 155H,32,NVIDIA GeForce RTX 4060,"Błyszczący, OLED",1TB,,1024,Windows 11 Professional,Intel
Dell XPS 16 9640 Ultra 7 155H/16GB/1TB/Win11P RTX4050,14699.0,xkom,Intel® Core™ Ultra 7 155H,16,NVIDIA GeForce RTX 4050,"Matowy, LED, WVA",1TB,,1024,Windows 11 Professional,Intel
Dell XPS 16 9640 Ultra 7 155H/32GB/1TB/Win11P RTX4060,15699.0,xkom,Intel® Core™ Ultra 7 155H,32,NVIDIA GeForce RTX 4060,"Matowy, LED, WVA",1TB,,1024,Windows 11 Professional,Intel
Dell XPS 13 9345 X Elite X1E‑80‑100/32GB/1TB/Win11P 3K Touch,11499.0,xkom,Qualcomm Snapdragon X Elite,32,Qualcomm® Adreno™,"Matowy, OLED",1TB,,1024,Windows 11 Professional,Qualcomm
Dell XPS 13 9345 X Elite X1E‑80‑100/32GB/1TB/Win11P AI,10899.0,xkom,Qualcomm Snapdragon X Elite,32,Qualcomm® Adreno™,"Matowy, LED, WVA",1TB,,1024,Windows 11 Professional,Qualcomm
Dell XPS 13 9345 X Elite X1E‑80‑100/16GB/512/Win11P AI,9999.0,xkom,Qualcomm Snapdragon X Elite,16,Qualcomm® Adreno™,"Matowy, LED, WVA",512,512,512,Windows 11 Professional,Qualcomm
Microsoft Surface Go4 N/8GB/128GB/Win11Pro,3329.0,xkom,Intel Processor N200,8,Intel UHD Graphics,,128GB,,128,Windows 11 Professional,Intel
Microsoft Surface Pro10 Ultra 7‑165U/16GB/256GB/Win11Pro,8759.0,xkom,Intel® Core™ Ultra 7 165U,16,Intel® Graphics,,256GB,,256,Windows 11 Professional,Intel
Microsoft Surface Pro 10 Ultra 5‑135U/16GB/256GB/Win11Pro,7369.0,xkom,Intel® Core™ Ultra 5 135U,16,Intel® Graphics,,256GB,,256,Windows 11 Professional,Intel
Microsoft Surface Laptop 6 Ultra 5‑135H/16GB/256GB/Win11Pro,7899.0,xkom,Intel® Core™ Ultra 5 135H,16,Intel Arc™ Graphics,"Matowy, LED, IPS",256GB,,256,Windows 11 Professional,Intel
Dell Precision 7780 i7‑13850HX/16GB/512/Win11P RTX2000,13489.0,xkom,Intel® Core™ i7-13850HX,16,Intel UHD Graphics + NVIDIA RTX 2000 Ada,"Matowy, LED, WVA",512,512,512,Windows 11 Professional,Intel
Dell Inspiron 5440 i5‑1334U/16GB/512/Win11P,3399.0,xkom,Intel® Core™ i5-1334U,16,Intel Iris Xe Graphics,"Matowy, LED, WVA",512,512,512,Windows 11 Professional,Intel
Dell Inspiron 5440 i5‑1334U/8GB/512/Win11P,3299.0,xkom,Intel® Core™ i5-1334U,8,Intel Iris Xe Graphics,"Matowy, LED, WVA",512,512,512,Windows 11 Professional,Intel
Lenovo Legion Slim 5‑16 Ryzen 7‑7435HS/32GB/1TB RTX4070,7499.0,xkom,AMD Ryzen™ 7 7435HS,32,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",,,0,Brak,AMD
Lenovo Legion Slim 5‑16 Ryzen 7‑7435HS/32GB/1TB/Win11X RTX4070,8049.0,xkom,AMD Ryzen™ 7 7435HS,32,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,AMD
Lenovo Legion Slim 5‑16 Ryzen 7‑7435HS/16GB/1TB/Win11X RTX4070,7649.0,xkom,AMD Ryzen™ 7 7435HS,16,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",1TB,,1024,Windows 11 Home,AMD
Lenovo Legion Slim 5‑16 Ryzen 7‑7435HS/16GB/1TB RTX4070,7099.0,xkom,AMD Ryzen™ 7 7435HS,16,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",,,0,Brak,AMD
Lenovo Legion Slim 5‑16 Ryzen 7‑7435HS/32GB/512+1TB RTX4070,7599.0,xkom,AMD Ryzen™ 7 7435HS,32,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",,,0,Brak,AMD
Lenovo Legion Slim 5‑16 Ryzen 7‑7435HS/32GB/512+1TB/Win11X RTX4070,8149.0,xkom,AMD Ryzen™ 7 7435HS,32,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",512+1TB,,1536,Windows 11 Home,AMD
Lenovo Legion Slim 5‑16 Ryzen 7‑7435HS/16GB/512+1TB/Win11X RTX4070,7749.0,xkom,AMD Ryzen™ 7 7435HS,16,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",512+1TB,,1536,Windows 11 Home,AMD
Lenovo Legion Slim 5‑16 Ryzen 7‑7435HS/16GB/512+1TB RTX4070,7199.0,xkom,AMD Ryzen™ 7 7435HS,16,NVIDIA GeForce RTX 4070,"Matowy, LED, IPS",,,0,Brak,AMD
HP ProBook 450 G10 i7‑1355U/16GB/1TB/Win11P,4049.0,xkom,Intel® Core™ i7-1355U,16,Intel UHD,"Matowy, LED, IPS",1TB,,1024,Windows 11 Professional,Intel
Apple MacBook Pro M4 Max/128GB/2TB/Mac OS Gwiezdna Czerń 40R Nano,29249.0,xkom,Apple M4 Max,128,Apple M4 Max [40 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",2TB,,2048,macOS Sonoma,Apple
Apple MacBook Pro M4 Max/128GB/2TB/Mac OS Srebrny 40R GPU Nano,29249.0,xkom,Apple M4 Max,128,Apple M4 Max [40 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",2TB,,2048,macOS Sonoma,Apple
Apple MacBook Pro M4 Max/128GB/2TB/Mac OS Srebrny 40R GPU,28499.0,xkom,Apple M4 Max,128,Apple M4 Max [40 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",2TB,,2048,macOS Sonoma,Apple
Apple MacBook Pro M4 Max/128GB/2TB/Mac OS Gwiezdna Czerń 40R GPU,28499.0,xkom,Apple M4 Max,128,Apple M4 Max [40 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",2TB,,2048,macOS Sonoma,Apple
Apple MacBook Pro M4 Max/64GB/1TB/Mac OS Gwiezdna Czerń 40R Nano,23249.0,xkom,Apple M4 Max,64,Apple M4 Max [40 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",1TB,,1024,macOS Sonoma,Apple
Apple MacBook Pro M4 Max/64GB/1TB/Mac OS Srebrny 40R GPU Nano,23249.0,xkom,Apple M4 Max,64,Apple M4 Max [40 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",1TB,,1024,macOS Sonoma,Apple
Apple MacBook Pro M4 Max/64GB/1TB/Mac OS Srebrny 40R GPU,22499.0,xkom,Apple M4 Max,64,Apple M4 Max [40 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",1TB,,1024,macOS Sonoma,Apple
Apple MacBook Pro M4 Max/64GB/1TB/Mac OS Gwiezdna Czerń 40R GPU,22499.0,xkom,Apple M4 Max,64,Apple M4 Max [40 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",1TB,,1024,macOS Sonoma,Apple
Apple MacBook Pro M4 Max/48GB/1TB/Mac OS Srebrny 40R GPU Nano,22249.0,xkom,Apple M4 Max,48,Apple M4 Max [40 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",1TB,,1024,macOS Sonoma,Apple
Apple MacBook Pro M4 Max/48GB/1TB/Mac OS Gwiezdna Czerń 40R Nano,22249.0,xkom,Apple M4 Max,48,Apple M4 Max [40 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",1TB,,1024,macOS Sonoma,Apple
Apple MacBook Pro M4 Max/36GB/2TB/Mac OS Srebrny 32R GPU Nano,21249.0,xkom,Apple M4 Max,36,Apple M4 Max [32 rdzenie],"Błyszczący, mini-LED, Liquid Retina XDR",2TB,,2048,macOS Sonoma,Apple
Apple MacBook Pro M4 Max/36GB/2TB/Mac OS Gwiezdna Czerń 32R Nano,21249.0,xkom,Apple M4 Max,36,Apple M4 Max [32 rdzenie],"Błyszczący, mini-LED, Liquid Retina XDR",2TB,,2048,macOS Sonoma,Apple
Apple MacBook Pro M4 Max/36GB/2TB/Mac OS Srebrny 32R GPU,20499.0,xkom,Apple M4 Max,36,Apple M4 Max [32 rdzenie],"Błyszczący, mini-LED, Liquid Retina XDR",2TB,,2048,macOS Sonoma,Apple
Apple MacBook Pro M4 Max/36GB/2TB/Mac OS Gwiezdna Czerń 32R GPU,20499.0,xkom,Apple M4 Max,36,Apple M4 Max [32 rdzenie],"Błyszczący, mini-LED, Liquid Retina XDR",2TB,,2048,macOS Sonoma,Apple
Apple MacBook Pro M4 Max/36GB/1TB/Mac OS Srebrny 32R GPU Nano,19249.0,xkom,Apple M4 Max,36,Apple M4 Max [32 rdzenie],"Błyszczący, mini-LED, Liquid Retina XDR",1TB,,1024,macOS Sonoma,Apple
Apple MacBook Pro M4 Max/36GB/1TB/Mac OS Gwiezdna Czerń 32R Nano,19249.0,xkom,Apple M4 Max,36,Apple M4 Max [32 rdzenie],"Błyszczący, mini-LED, Liquid Retina XDR",1TB,,1024,macOS Sonoma,Apple
Apple MacBook Pro M4 Pro/48GB/1TB/Mac OS Srebrny 20R GPU Nano,16749.0,xkom,Apple M4 Pro,48,Apple M4 Pro [20 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",1TB,,1024,macOS Sonoma,Apple
Apple MacBook Pro M4 Pro/48GB/1TB/Mac OS Gwiezdna Czerń 20R Nano,16749.0,xkom,Apple M4 Pro,48,Apple M4 Pro [20 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",1TB,,1024,macOS Sonoma,Apple
Apple MacBook Pro M4 Pro/48GB/512/Mac OS Gwiezdna Czerń 20R Nano,15749.0,xkom,Apple M4 Pro,48,Apple M4 Pro [20 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",512,512,512,macOS Sonoma,Apple
Apple MacBook Pro M4 Pro/48GB/512/Mac OS Srebrny 20R GPU Nano,15749.0,xkom,Apple M4 Pro,48,Apple M4 Pro [20 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",512,512,512,macOS Sonoma,Apple
Apple MacBook Pro M4 Pro/48GB/1TB/Mac OS Gwiezdna Czerń 20R GPU,15999.0,xkom,Apple M4 Pro,48,Apple M4 Pro [20 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",1TB,,1024,macOS Sonoma,Apple
Apple MacBook Pro M4 Pro/48GB/1TB/Mac OS Srebrny 20R GPU,15999.0,xkom,Apple M4 Pro,48,Apple M4 Pro [20 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",1TB,,1024,macOS Sonoma,Apple
Apple MacBook Pro M4 Pro/24GB/1TB/Mac OS Srebrny 20R Nano,14749.0,xkom,Apple M4 Pro,24,Apple M4 Pro [20 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",1TB,,1024,macOS Sonoma,Apple
Apple MacBook Pro M4 Pro/24GB/1TB/Mac OS Srebrny 20R GPU,13999.0,xkom,Apple M4 Pro,24,Apple M4 Pro [20 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",1TB,,1024,macOS Sonoma,Apple
Apple MacBook Pro M4 Pro/24GB/512/Mac OS Srebrny 20R Nano,13749.0,xkom,Apple M4 Pro,24,Apple M4 Pro [20 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",512,512,512,macOS Sonoma,Apple
Apple MacBook Pro M4 Pro/24GB/1TB/Mac OS Gwiezdna Czerń 20R Nano,14749.0,xkom,Apple M4 Pro,24,Apple M4 Pro [20 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",1TB,,1024,macOS Sonoma,Apple
Apple MacBook Pro M4 Pro/24GB/1TB/Mac OS Gwiezdna Czerń 20R GPU,13999.0,xkom,Apple M4 Pro,24,Apple M4 Pro [20 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",1TB,,1024,macOS Sonoma,Apple
Apple MacBook Pro M4 Pro/24GB/512/Mac OS Gwiezdna Czerń 20R Nano,13749.0,xkom,Apple M4 Pro,24,Apple M4 Pro [20 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",512,512,512,macOS Sonoma,Apple
Apple MacBook Pro M4 Max/64GB/2TB/Mac OS Srebrny 40R GPU,21999.0,xkom,Apple M4 Max,64,Apple M4 Max [40 rdzeni],"Błyszczący, mini-LED, Liquid Retina XDR",2TB,,2048,macOS Sonoma,Apple
